,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
4,5,1,1,1,1,1,1895,756,33,136,83.094467,invoice
5,5,1,1,1,1,2,1895,910,33,64,92.909706,No.
6,5,1,1,1,1,3,1891,1006,35,255,53.780533,JLO0000384
7,5,1,1,1,1,4,1880,2526,31,112,93.088989,Dated
8,5,1,1,1,1,5,1875,2671,31,184,70.577774,20-Fab-23
10,5,1,1,1,2,1,1840,759,34,74,96.139801,Ref.
11,5,1,1,1,2,2,1840,853,33,64,96.409828,No.
13,5,1,1,1,3,1,1776,1498,34,57,91.578384,PT
14,5,1,1,1,3,2,1772,1566,35,276,90.721519,ARTHANAYA
15,5,1,1,1,3,3,1769,1853,38,259,95.481186,TEKNOLOGI
17,5,1,1,1,4,1,1724,1274,35,68,89.817307,Jin.
18,5,1,1,1,4,2,1722,1359,37,121,95.975693,Teuku
19,5,1,1,1,4,3,1722,1498,35,109,92.943451,Umar
20,5,1,1,1,4,4,1714,1620,41,150,89.046494,"No.200,"
21,5,1,1,1,4,5,1720,1787,33,103,90.0961,Dauh
22,5,1,1,1,4,6,1720,1908,33,74,93.28038,Puri
23,5,1,1,1,4,7,1713,2000,40,112,92.078445,"Kauh,"
24,5,1,1,1,4,8,1718,2129,33,83,93.271347,Kec.
25,5,1,1,1,4,9,1709,2232,41,101,92.130402,Deps
27,5,1,1,1,5,1,1667,1390,35,123,92.704544,E-Mail
28,5,1,1,1,5,2,1667,1533,24,4,52.552433,:
29,5,1,1,1,5,3,1654,1555,46,662,85.899765,arthanayateknologipt@gmail.com
33,5,1,2,1,1,1,1575,1566,44,144,92.338524,NOTA
34,5,1,2,1,1,2,1575,1727,42,314,91.664673,PENJUALAN
38,5,1,3,1,1,1,1503,761,35,173,89.534302,Customer
39,5,1,3,1,1,2,1503,955,24,5,90.850029,:
40,5,1,3,1,1,3,1498,992,35,194,90.752861,Harrisma
41,5,1,3,1,1,4,1496,1199,37,161,96.257179,Service
43,5,1,3,1,2,1,1446,993,33,89,91.972542,JLN.
44,5,1,3,1,2,2,1444,1101,35,221,95.645088,MERDEKA
45,5,1,3,1,2,3,1444,1340,32,61,94.489967,NO
46,5,1,3,1,2,4,1443,1414,33,49,94.60482,47
47,5,1,3,1,2,5,1443,1478,31,88,95.981583,DPS
51,5,1,4,1,1,1,1362,1169,35,193,75.435867,Description
52,5,1,4,1,1,2,1369,1373,26,33,94.890099,of
53,5,1,4,1,1,3,1367,1419,28,114,94.958321,Goods
57,5,1,5,1,1,1,1291,2825,25,17,69.311859,|
59,5,1,5,1,2,1,1237,2616,53,226,93.1866,"865,000.00)"
63,5,1,6,1,1,1,1293,2509,10,315,95.0, 
67,5,1,7,1,1,1,1296,1044,12,408,95.0, 
71,5,1,8,1,1,1,995,1882,405,10,95.0, 
75,5,1,9,1,1,1,892,1648,16,550,95.0, 
79,5,1,10,1,1,1,850,2373,443,8,95.0, 
83,5,1,11,1,1,1,838,2126,379,8,95.0, 
87,5,1,12,1,1,1,789,776,30,134,94.866104,Amount
88,5,1,12,1,1,2,781,921,40,191,94.431122,Chargeable
89,5,1,12,1,1,3,783,1125,38,39,96.657387,(in
90,5,1,12,1,1,4,783,1175,37,114,96.720932,words)
92,5,1,12,1,2,1,722,778,35,231,96.286781,indonesian
93,5,1,12,1,2,2,716,1024,41,145,95.983185,Rupiah
94,5,1,12,1,2,3,718,1184,39,108,94.960777,Eight
95,5,1,12,1,2,4,724,1305,33,175,96.358582,Hundred
96,5,1,12,1,2,5,718,1494,41,102,96.358582,Sixty
97,5,1,12,1,2,6,726,1609,33,86,96.605087,Five
98,5,1,12,1,2,7,729,1709,33,201,96.299812,Thousand
99,5,1,12,1,2,8,720,1923,44,93,96.820526,Only
103,5,1,13,1,1,1,650,781,30,166,36.104576,Remarks:
105,5,1,13,1,2,1,599,778,33,139,96.046295,Termin
106,5,1,13,1,2,2,602,930,32,47,70.911659,O07
107,5,1,13,1,2,3,602,993,32,77,94.39698,Hari
111,5,1,14,1,1,1,518,783,31,193,81.654366,Daciaration
113,5,1,14,1,2,1,473,783,30,52,75.185814,NB:
114,5,1,14,1,2,2,474,868,34,163,91.017067,BARANG
115,5,1,14,1,2,3,474,1044,31,107,93.254471,YANG
116,5,1,14,1,2,4,477,1164,28,132,92.472412,SUDAH
117,5,1,14,1,2,5,477,1309,28,118,72.321442,DIBEL!
121,5,1,15,1,1,1,434,824,21,38,22.960556,mY.
122,5,1,15,1,1,2,426,913,33,6,0.0,.
123,5,1,15,1,1,3,437,1059,18,13,91.17836,5
127,5,1,16,1,1,1,207,0,2064,3508,95.0, 
