,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
4,5,1,1,1,1,1,2044,215,142,11,95.024689,SECURITY
5,5,1,1,1,1,2,2203,215,168,11,95.230614,SOLUTIONS
7,5,1,1,1,2,1,2037,242,124,11,94.181259,FACILITY
8,5,1,1,1,2,2,2177,242,202,11,95.817322,MANAGEMENT
12,5,1,2,1,1,1,186,14,409,380,95.0, 
16,5,1,3,1,1,1,1106,405,104,38,95.536263,TAX
17,5,1,3,1,1,2,1229,405,212,39,95.685509,INVOICE
21,5,1,4,1,1,1,159,540,118,26,96.738197,Invoice
22,5,1,4,1,1,2,291,540,53,25,93.28302,No:
23,5,1,4,1,1,3,359,540,294,26,74.852692,B01036222300143
24,5,1,4,1,1,4,1972,519,119,48,96.925415,Original
28,5,1,5,1,1,1,159,582,118,26,96.23011,Invoice
29,5,1,5,1,1,2,291,582,82,26,96.120277,Date:
30,5,1,5,1,1,3,387,582,36,26,95.427673,07
31,5,1,5,1,1,4,437,582,60,26,95.427673,Dec
32,5,1,5,1,1,5,508,582,76,26,96.595703,2022
34,5,1,5,1,2,1,159,624,67,26,93.243935,IRN:
35,5,1,5,1,2,2,240,624,206,26,85.201958,0d748d3c0e1
36,5,1,5,1,2,3,456,624,358,26,63.69368,13a41621cae87c7298
37,5,1,5,1,2,4,804,619,11,41,51.747166,1
38,5,1,5,1,2,5,821,624,148,26,33.856323,f08bf6b87
39,5,1,5,1,2,6,981,624,442,26,33.856323,4f8fb9f0fa2834d766091bcc8
43,5,1,6,1,1,1,198,727,111,26,96.868416,Details
44,5,1,6,1,1,2,322,727,33,26,95.828857,of
45,5,1,6,1,1,3,366,727,156,33,96.161087,Recipient
46,5,1,6,1,1,4,534,727,104,33,96.671478,(Billed
47,5,1,6,1,1,5,650,727,43,33,96.98983,to)
48,5,1,6,1,1,6,1711,727,112,26,96.135818,Details
49,5,1,6,1,1,7,1836,727,33,26,96.288979,of
50,5,1,6,1,1,8,1879,727,140,33,96.288979,Supplier
54,5,1,7,1,1,1,158,807,72,20,96.735222,Client
55,5,1,7,1,1,2,240,808,76,19,96.264633,Name:
56,5,1,7,1,1,3,327,808,79,19,96.668617,TALLY
57,5,1,7,1,1,4,416,807,150,20,96.572533,SOLUTIONS
58,5,1,7,1,1,5,577,808,109,19,96.455177,PRIVATE
59,5,1,7,1,1,6,697,808,101,19,96.624214,LIMITED
60,5,1,7,1,1,7,1672,808,77,19,92.863007,Name:
61,5,1,7,1,1,8,1761,807,41,20,91.670769,NIS
62,5,1,7,1,1,9,1812,808,152,24,95.918022,Management
63,5,1,7,1,1,10,1974,808,81,19,96.636032,Limited
66,5,1,7,2,1,1,158,850,107,19,96.623199,Contract
67,5,1,7,2,1,2,275,850,41,19,96.643677,Ref
68,5,1,7,2,1,3,324,850,72,19,92.975311,Code:
69,5,1,7,2,1,4,408,850,270,19,81.672363,FCM/BNG/INV/TIPL/02
70,5,1,7,2,1,5,1672,850,61,19,93.162888,PAN:
71,5,1,7,2,1,6,1743,850,167,19,91.501823,AACCN2982P
74,5,1,7,3,1,1,157,892,112,20,96.567245,Address:
75,5,1,7,3,1,2,279,892,58,19,96.112892,AMR
76,5,1,7,3,1,3,346,892,69,20,96.189804,TECH
77,5,1,7,3,1,4,426,892,70,19,93.294777,PARK
78,5,1,7,3,1,5,506,892,58,23,89.701431,"II,NO"
79,5,1,7,3,1,6,574,892,392,23,81.204239,"23&24,HONGASANDRA,HOSUR"
80,5,1,7,3,1,7,976,892,62,19,96.559105,MAIN
81,5,1,7,3,1,8,1672,892,86,20,92.34597,GSTIN:
82,5,1,7,3,1,9,1768,892,245,20,89.722443,29AACCN2982P1ZP
85,5,1,7,4,1,1,159,934,73,20,96.811096,ROAD
86,5,1,7,4,1,2,1672,934,43,20,90.901093,PO:
89,5,1,7,5,1,1,158,977,55,25,95.818863,City:
90,5,1,7,5,1,2,225,977,162,19,92.114204,BANGALORE
91,5,1,7,5,1,3,1672,977,47,19,96.002136,Ref:
94,5,1,7,6,1,1,158,1019,70,20,96.604408,State:
95,5,1,7,6,1,2,240,1019,158,20,88.338684,KARNATAKA
96,5,1,7,6,1,3,422,1019,46,19,61.590279,Pin:
97,5,1,7,6,1,4,479,1019,86,20,95.833328,560068
98,5,1,7,6,1,5,1672,1019,78,25,96.527824,Billing
99,5,1,7,6,1,6,1761,1019,70,20,96.323196,From:
100,5,1,7,6,1,7,1842,1019,24,20,95.819969,01
101,5,1,7,6,1,8,1880,1019,44,20,95.819969,Nov
102,5,1,7,6,1,9,1933,1019,57,20,95.992432,2022
103,5,1,7,6,1,10,2006,1019,38,20,96.567772,To:
104,5,1,7,6,1,11,2056,1019,26,20,95.84996,30
105,5,1,7,6,1,12,2093,1019,44,20,96.275909,Nov
106,5,1,7,6,1,13,2146,1019,57,20,96.82164,2022
108,5,1,7,6,2,1,159,1062,60,19,93.224533,PAN:
109,5,1,7,6,2,2,229,1061,166,20,90.722443,AAACP7879D
110,5,1,7,6,2,3,1672,1062,41,19,96.58812,For
111,5,1,7,6,2,4,1721,1062,38,19,96.600624,the
112,5,1,7,6,2,5,1769,1062,86,19,96.630188,month:
113,5,1,7,6,2,6,1866,1062,45,19,96.824844,Nov
114,5,1,7,6,2,7,1920,1062,56,19,95.770164,2022
117,5,1,7,7,1,1,158,1104,86,19,92.699989,GSTIN:
118,5,1,7,7,1,2,255,1104,240,19,87.611435,29AAACP7879D1Z0
119,5,1,7,7,1,3,1672,1104,70,19,95.431786,State:
120,5,1,7,7,1,4,1753,1104,158,19,96.676064,KARNATAKA
121,5,1,7,7,1,5,1928,1104,71,19,96.292023,Code:
122,5,1,7,7,1,6,2010,1104,27,19,96.965096,29
126,5,1,8,1,1,1,159,1146,66,20,96.551704,Place
127,5,1,8,1,1,2,235,1146,29,20,96.551704,Of
128,5,1,8,1,1,3,271,1146,87,25,96.381111,Supply
129,5,1,8,1,1,4,367,1146,70,20,96.276634,State:
130,5,1,8,1,1,5,449,1146,158,19,94.019402,KARNATAKA
131,5,1,8,1,1,6,630,1146,71,20,94.019402,Code:
132,5,1,8,1,1,7,712,1146,28,20,96.778351,29
134,5,1,8,1,2,1,158,1189,44,19,96.755287,Tax
135,5,1,8,1,2,2,212,1189,19,19,96.735947,Is
136,5,1,8,1,2,3,241,1189,96,24,96.321632,payable
137,5,1,8,1,2,4,347,1189,72,19,96.850899,under
138,5,1,8,1,2,5,428,1189,100,19,96.850899,Reverse
139,5,1,8,1,2,6,538,1188,96,25,96.600578,Charge:
140,5,1,8,1,2,7,646,1189,31,19,96.817238,No
144,5,1,9,1,1,1,1885,1236,72,20,92.398041,CGST
146,5,1,9,1,2,1,195,1256,91,33,96.363113,Service
147,5,1,9,1,2,2,768,1281,4,4,44.525482,.
148,5,1,9,1,2,3,1069,1256,81,33,96.816254,Billing
149,5,1,9,1,2,4,1383,1256,92,33,96.619034,Service
150,5,1,9,1,2,5,1667,1261,97,19,96.69323,Taxable
152,5,1,9,1,3,1,243,1302,36,3,36.93222,gs
153,5,1,9,1,3,2,369,1277,112,33,96.482521,Category
154,5,1,9,1,3,3,541,1281,116,20,89.962494,HSN/SAC
155,5,1,9,1,3,4,717,1281,133,20,96.175323,Particulars
157,5,1,9,1,4,1,169,1298,142,32,96.75325,Description
158,5,1,9,1,4,2,1084,1302,55,19,96.976532,Rate
159,5,1,9,1,4,3,1384,1301,89,25,96.901642,Charge
160,5,1,9,1,4,4,1682,1302,66,19,96.846649,value
162,5,1,9,1,5,1,530,1397,76,17,96.858513,998533
163,5,1,9,1,5,2,974,1397,42,17,95.751137,1.00
164,5,1,9,1,5,3,1073,1397,107,17,88.760635,193477.56
165,5,1,9,1,5,4,1237,1397,107,17,89.519623,193477.56
166,5,1,9,1,5,5,1687,1397,108,17,93.005768,193478.00
167,5,1,9,1,5,6,1843,1397,64,18,95.636696,9.00%
168,5,1,9,1,5,7,1916,1393,8,30,20.651428,J
169,5,1,9,1,5,8,1939,1397,81,17,84.625587,17414.0
170,5,1,9,1,5,9,2068,1397,64,18,96.793388,9.00%
171,5,1,9,1,5,10,2141,1393,13,30,42.641945,|
172,5,1,9,1,5,11,2164,1397,81,17,89.177246,17414.0
173,5,1,9,1,5,12,2259,1393,10,30,35.470497,|
174,5,1,9,1,5,13,2280,1397,109,17,88.579857,228306.00
