,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
4,5,1,1,1,1,1,44,211,243,40,96.609406,Customer
5,5,1,1,1,1,2,303,209,213,54,95.996201,Monthly
6,5,1,1,1,1,3,534,211,243,52,96.196281,Summary
7,5,1,1,1,1,4,793,212,174,50,96.25824,Report
9,5,1,1,1,2,1,43,282,77,25,92.541489,Hexa
10,5,1,1,1,2,2,131,280,201,34,96.576683,Development
11,5,1,1,1,2,3,342,280,64,27,96.74102,And
12,5,1,1,1,2,4,418,281,150,26,5.74086,Services's
15,5,1,1,2,1,1,43,338,127,25,90.065742,P.O.Box
16,5,1,1,2,1,2,184,338,60,30,96.777428,"133,"
17,5,1,1,2,1,3,256,338,43,25,95.887032,PC
18,5,1,1,2,1,4,314,338,60,30,92.842049,"112,"
19,5,1,1,2,1,5,387,338,87,30,92.648384,"Ruwi,"
20,5,1,1,2,1,6,487,338,89,25,96.727814,Oman
23,5,1,1,3,1,1,43,392,149,27,96.340874,Reference
24,5,1,1,3,1,2,204,393,122,26,93.275772,Number
25,5,1,1,3,1,3,338,401,5,18,93.138031,:
26,5,1,1,3,1,4,357,394,147,25,96.628418,38912065
29,5,1,1,4,1,1,43,449,54,26,96.549759,Bill
30,5,1,1,4,1,2,109,450,74,25,96.24762,Issue
31,5,1,1,4,1,3,195,450,68,25,92.345779,Date
32,5,1,1,4,1,4,286,457,5,19,91.138428,:
33,5,1,1,4,1,5,304,450,194,33,95.97438,01-Apr-2023
36,5,1,1,5,1,1,43,505,54,26,96.476791,Bill
37,5,1,1,5,1,2,108,505,97,27,93.263222,Period
38,5,1,1,5,1,3,218,514,4,18,91.030121,:
39,5,1,1,5,1,4,236,506,197,26,96.61544,01-Mar-2023
40,5,1,1,5,1,5,444,510,28,22,96.910866,to
41,5,1,1,5,1,6,484,506,197,26,96.451759,31-Mar-2023
44,5,1,1,6,1,1,43,563,102,25,92.434166,CMSR
45,5,1,1,6,1,2,156,561,54,27,95.989586,Bill
46,5,1,1,6,1,3,222,561,122,27,93.279442,Number
47,5,1,1,6,1,4,356,570,5,18,89.956161,:
48,5,1,1,6,1,5,375,562,308,26,92.264488,38912065-20230401
51,5,1,1,7,1,1,42,619,133,25,61.190506,VATIN:
55,5,1,2,1,1,1,1678,264,686,70,46.213387,OOredcdo
59,5,1,3,1,1,1,1651,392,94,22,96.040344,Omani
60,5,1,3,1,1,2,1753,392,92,22,72.180618,Qatari
61,5,1,3,1,1,3,1852,392,296,22,81.503098,Telecommunications
62,5,1,3,1,1,4,2156,394,139,28,93.036629,Company
63,5,1,3,1,1,5,2304,394,81,20,92.602928,SAOG
67,5,1,4,1,1,1,1116,245,352,352,95.0, 
71,5,1,5,1,1,1,43,732,79,25,96.899315,Note:
72,5,1,5,1,1,2,135,730,156,34,96.524612,Telephone
73,5,1,5,1,1,3,303,730,127,27,96.726624,numbers
74,5,1,5,1,1,4,441,730,66,27,93.27491,with
75,5,1,5,1,1,5,518,730,41,34,91.129097,(*)
76,5,1,5,1,1,6,570,730,77,27,96.770599,mark
77,5,1,5,1,1,7,657,739,44,18,96.921814,are
78,5,1,5,1,1,8,712,730,159,27,96.473396,terminated
79,5,1,5,1,1,9,882,730,53,27,96.267021,and
80,5,1,5,1,1,10,946,731,127,33,96.267021,awaiting
81,5,1,5,1,1,11,1085,730,66,27,96.98037,final
82,5,1,5,1,1,12,1163,730,159,27,96.718231,settlement.
