,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
4,5,1,1,1,1,1,1767,130,100,32,96.647575,ibibo
5,5,1,1,1,1,2,1882,131,128,40,96.27726,Group
6,5,1,1,1,1,3,2027,130,141,32,96.211647,Private
7,5,1,1,1,1,4,2185,130,162,39,96.793167,"Limited,"
9,5,1,1,1,2,1,1373,193,58,30,93.287643,4th
10,5,1,1,1,2,2,1446,195,27,28,93.282776,&
11,5,1,1,1,2,3,1487,193,57,30,96.320015,5th
12,5,1,1,1,2,4,1560,193,108,36,96.236938,"Floor,"
13,5,1,1,1,2,5,1683,193,102,30,96.538315,Good
14,5,1,1,1,2,6,1802,193,98,30,96.617599,Earth
15,5,1,1,1,2,7,1916,193,74,38,96.716316,City
16,5,1,1,1,2,8,2004,195,135,34,93.300308,"Centre,"
17,5,1,1,1,2,9,2155,195,192,34,92.150536,"Sector-50,"
19,5,1,1,1,3,1,1504,254,184,39,96.314774,Adjoining
20,5,1,1,1,3,2,1704,254,96,30,96.662628,Hotel
21,5,1,1,1,3,3,1817,254,158,30,95.842148,Formula
22,5,1,1,1,3,4,1989,256,28,34,93.265068,"1,"
23,5,1,1,1,3,5,2033,255,316,38,91.928429,Gurgaon-122001
27,5,1,2,1,1,1,146,319,56,81,88.594254,g
28,5,1,2,1,1,2,212,294,81,81,34.790977,Ol
29,5,1,2,1,1,3,306,294,84,81,95.87381,bi
30,5,1,2,1,1,4,402,294,16,81,0.0,k
31,5,1,2,1,1,5,427,319,29,49,38.955235,>
32,5,1,2,1,1,6,461,311,60,68,35.635162,re)
33,5,1,2,1,1,7,2059,317,158,36,96.361221,Haryana
34,5,1,2,1,1,8,2230,315,118,38,95.429901,(India)
36,5,1,2,1,2,1,437,388,84,24,65.557411,com
38,5,1,2,1,3,1,1674,499,109,29,91.670059,GSTN
39,5,1,2,1,3,2,1799,498,161,30,92.883194,Number:
40,5,1,2,1,3,3,1977,499,373,29,76.525688,O6AAHCP1178L1Z4
42,5,1,2,1,4,1,1050,584,122,53,96.746712,Tax
43,5,1,2,1,4,2,1201,582,228,55,96.455612,Invoice
45,5,1,2,1,5,1,131,721,48,28,96.719437,To
46,5,1,2,1,5,2,193,719,158,30,95.990898,Shankar
47,5,1,2,1,5,3,366,719,132,38,95.990898,Murthy
48,5,1,2,1,5,4,511,720,51,29,96.705826,YS
49,5,1,2,1,5,5,1255,719,157,38,95.946869,Booking
50,5,1,2,1,5,6,1429,721,36,28,92.936012,ID
51,5,1,2,1,5,7,1488,728,1,21,87.869087,:
52,5,1,2,1,5,8,1505,719,457,30,72.748848,GOBUSAND5cdf378d8a
56,5,1,3,1,1,1,975,805,260,70,96.34877,Booking
57,5,1,3,1,1,2,1267,805,237,55,95.815811,Details:
61,5,1,4,1,1,1,1285,972,135,30,95.772881,Invoice
62,5,1,4,1,1,2,1435,972,210,30,96.048859,Generation
63,5,1,4,1,1,3,1662,973,84,29,96.564087,Date
67,5,1,5,1,1,1,112,924,2257,302,95.0, 
71,5,1,6,1,1,1,1285,1116,74,30,96.541298,Feb.
72,5,1,6,1,1,2,1377,1118,50,33,96.466156,"15,"
73,5,1,6,1,1,3,1444,1117,96,34,96.594551,"2020,"
74,5,1,6,1,1,4,1558,1117,97,29,96.720413,12:55
75,5,1,6,1,1,5,1671,1124,72,30,96.479042,p.m.
79,5,1,7,1,1,1,932,1247,220,55,95.782684,Details
80,5,1,7,1,1,2,1179,1247,59,55,96.6175,of
81,5,1,7,1,1,3,1265,1247,289,55,96.470673,Receiver
85,5,1,8,1,1,1,134,1384,132,30,96.498978,Booked
86,5,1,8,1,1,2,283,1386,44,36,93.195251,By
87,5,1,8,1,1,3,342,1392,4,22,92.34314,:
88,5,1,8,1,1,4,363,1384,149,30,96.414803,Shankar
89,5,1,8,1,1,5,527,1384,120,38,96.128799,Murthy
90,5,1,8,1,1,6,660,1386,51,28,96.884598,YS
94,5,1,9,1,1,1,483,1500,102,29,96.774368,Place
95,5,1,9,1,1,2,599,1500,37,29,96.810669,of
96,5,1,9,1,1,3,1124,1500,120,29,95.71978,Phone
97,5,1,9,1,1,4,1260,1501,50,28,95.71978,No
98,5,1,9,1,1,5,1444,1501,183,37,96.137878,Company
99,5,1,9,1,1,6,1764,1500,160,29,96.922005,Address
100,5,1,9,1,1,7,2085,1501,153,36,96.183228,Country
102,5,1,9,1,2,1,482,1556,133,46,96.791435,Supply
103,5,1,9,1,2,2,1445,1562,106,28,96.766693,Name
107,5,1,10,1,1,1,955,1835,220,55,95.971153,Details
108,5,1,10,1,1,2,1202,1835,59,55,96.612732,of
109,5,1,10,1,1,3,1285,1835,244,55,96.384003,Service
111,5,1,10,1,2,1,131,1973,117,30,96.633598,Ticket
112,5,1,10,1,2,2,473,1974,203,37,96.584984,Passenger
113,5,1,10,1,2,3,812,1969,173,46,91.789528,Sector(s)
114,5,1,10,1,2,4,1153,1974,82,29,96.411659,Fare
115,5,1,10,1,2,5,1358,1973,175,30,91.256744,HSN/SAC
116,5,1,10,1,2,6,1698,1969,197,46,96.324097,Description
117,5,1,10,1,2,7,2037,1974,162,37,96.279709,Category
118,5,1,10,1,2,8,2213,1973,32,30,96.684135,of
120,5,1,10,1,3,1,133,2035,60,29,96.025902,No.
121,5,1,10,1,3,2,472,2030,84,45,96.968544,Seat
122,5,1,10,1,3,3,1152,2035,77,29,96.725807,Amt
123,5,1,10,1,3,4,1357,2034,135,30,96.67749,number
124,5,1,10,1,3,5,2036,2034,126,30,96.389793,service
