,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
4,5,1,1,1,1,1,882,84,273,39,96.698517,PURCHASE
5,5,1,1,1,1,2,1173,84,176,39,96.686081,ORDER
9,5,1,2,1,1,1,149,176,1951,15,95.0, 
13,5,1,3,1,1,1,224,202,150,72,26.198418,tally
17,5,1,4,1,1,1,175,285,73,14,96.263657,POWER
18,5,1,4,1,1,2,262,285,23,14,96.973114,OF
19,5,1,4,1,1,3,299,285,123,14,96.112007,SIMPLICITY
23,5,1,5,1,1,1,462,202,114,28,96.337883,Invoice
24,5,1,5,1,1,2,589,202,41,28,95.947685,To
26,5,1,5,1,2,1,459,258,93,39,96.915886,Tally
27,5,1,5,1,2,2,566,257,187,32,96.188133,Solutions
28,5,1,5,1,2,3,769,258,134,31,96.618958,Private
29,5,1,5,1,2,4,919,258,142,31,95.882828,Limited
33,5,1,6,1,1,1,460,302,88,14,93.353928,AMR
34,5,1,6,1,1,2,562,302,88,14,94.20726,Tech
35,5,1,6,1,1,3,668,302,81,14,96.051537,Park
36,5,1,6,1,1,4,765,302,15,14,75.557388,Il
37,5,1,6,1,1,5,798,302,33,17,86.371384,"B,"
38,5,1,6,1,1,6,849,302,104,14,88.394661,No.23
39,5,1,6,1,1,7,969,302,65,14,95.229149,and
40,5,1,6,1,1,8,1049,303,43,13,95.229149,24
42,5,1,6,1,2,1,462,324,252,18,90.340263,"Hongasandra,"
43,5,1,6,1,2,2,732,324,106,14,94.862747,Hosur
44,5,1,6,1,2,3,853,324,84,14,94.737846,Main
45,5,1,6,1,2,4,955,324,92,14,96.234108,Road
47,5,1,6,1,3,1,462,346,183,18,91.482681,Bangalore
48,5,1,6,1,3,2,660,354,10,2,92.883614,-
49,5,1,6,1,3,3,685,347,134,13,94.336693,560068
52,5,1,6,2,1,1,462,368,184,14,93.082245,Karnataka
53,5,1,6,2,1,2,660,376,10,2,89.203468,-
54,5,1,6,2,1,3,687,368,85,14,95.51194,India
57,5,1,6,3,1,1,460,390,215,14,73.246315,GSTIN/UIN:
58,5,1,6,3,1,2,690,390,375,14,32.66394,29AAACP7879D12Z20
60,5,1,6,3,2,1,461,412,92,14,95.275818,State
61,5,1,6,3,2,2,570,412,127,14,95.637238,Name:
62,5,1,6,3,2,3,726,412,192,17,93.734955,"Karnataka,"
63,5,1,6,3,2,4,936,412,94,14,90.709503,Code
64,5,1,6,3,2,5,1048,416,4,10,88.926697,:
65,5,1,6,3,2,6,1068,413,43,13,96.054192,29
67,5,1,6,3,3,1,460,434,78,14,91.355164,CIN:
68,5,1,6,3,3,2,555,434,507,14,8.957855,U72200OKA1991PTCO012483
70,5,1,6,3,4,1,461,456,89,14,93.077118,E-Mail
71,5,1,6,3,4,2,565,460,4,10,83.274712,:
72,5,1,6,3,4,3,581,456,541,18,89.525574,accountspayable@tallysolutions.com
74,5,1,6,3,5,1,459,482,74,10,84.652649,www
75,5,1,6,3,5,2,551,478,330,18,68.484505,.tallysolutions.com
79,5,1,7,1,1,1,1155,190,139,28,96.48735,Voucher
80,5,1,7,1,1,2,1307,190,53,28,96.725365,No.
82,5,1,7,1,2,1,1157,248,352,31,90.708488,PO-HO/0440/22-23
86,5,1,8,1,1,1,1634,190,95,28,96.516342,Dated
88,5,1,8,1,2,1,1632,248,170,32,92.43531,9-Dec-22
92,5,1,9,1,1,1,1141,286,957,7,95.0, 
96,5,1,10,1,1,1,1634,296,206,28,92.528503,Mode/Terms
97,5,1,10,1,1,2,1853,296,30,28,96.789078,of
98,5,1,10,1,1,3,1897,296,145,36,96.636528,Payment
100,5,1,10,1,2,1,1632,354,30,31,96.570724,30
101,5,1,10,1,2,2,1673,354,66,40,96.570724,Days
102,5,1,10,1,2,3,1750,354,68,31,96.892822,From
103,5,1,10,1,2,4,1829,354,42,32,96.600014,the
104,5,1,10,1,2,5,1882,354,59,31,96.942238,Date
105,5,1,10,1,2,6,1951,354,26,31,96.222267,of
106,5,1,10,1,2,7,1987,354,96,31,96.222267,Invoice
110,5,1,11,1,1,1,1141,392,957,7,95.0, 
114,5,1,12,1,1,1,1157,402,169,28,96.616005,Reference
115,5,1,12,1,1,2,1341,402,52,28,93.29361,No.
116,5,1,12,1,1,3,1409,403,21,27,92.785507,&
117,5,1,12,1,1,4,1446,402,83,28,96.367973,Date.
121,5,1,13,1,1,1,1157,460,352,31,91.348236,PO-HO/0440/22-23
125,5,1,14,1,1,1,1632,402,93,28,96.463341,Other
126,5,1,14,1,1,2,1739,402,188,28,96.633377,References
128,5,1,14,1,2,1,1634,460,354,31,89.201309,PR/CIS/0803/22-23
132,5,1,15,1,1,1,1618,183,3,320,95.0, 
136,5,1,16,1,1,1,149,493,1949,12,95.0, 
140,5,1,17,1,1,1,149,493,1949,12,95.0, 
