,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
4,5,1,1,1,1,1,112,67,97,29,96.027412,"3/4/23,"
5,5,1,1,1,1,2,223,68,62,24,96.027412,9:47
6,5,1,1,1,1,3,294,68,47,24,96.984207,AM
7,5,1,1,1,1,4,1858,68,157,31,57.262054,Ezylnvoice
11,5,1,2,1,1,1,319,159,73,31,95.737473,Tax
12,5,1,2,1,1,2,407,156,151,34,95.386719,Invoice
16,5,1,3,1,1,1,2468,317,665,665,95.0, 
20,5,1,4,1,1,1,356,1127,21,33,92.177094,1.
21,5,1,4,1,1,2,391,1125,205,35,91.447044,e-Invoice
22,5,1,4,1,1,3,612,1125,143,35,96.565666,Details
26,5,1,5,1,1,1,361,1222,63,32,89.870384,IRN
27,5,1,5,1,1,2,440,1229,6,24,87.488586,:
28,5,1,5,1,1,3,463,1219,1619,35,36.147621,696a07974d418cafd02fla55e0272ad727f0601d6d75158d616ac7c697f968908
29,5,1,5,1,1,4,2286,1220,86,34,96.483978,Ack.
30,5,1,5,1,1,5,2388,1222,75,32,96.142555,No:
31,5,1,5,1,1,6,2682,1220,86,34,95.847748,Ack.
32,5,1,5,1,1,7,2784,1222,99,32,84.678139,Date
33,5,1,5,1,1,8,2898,1228,6,26,84.678139,:
35,5,1,5,1,2,1,2287,1286,323,33,90.056923,172312272811616
36,5,1,5,1,2,2,2684,1286,232,33,48.150517,2023-01-30
37,5,1,5,1,2,3,2941,1286,166,33,96.546066,10:06:00
41,5,1,6,1,1,1,357,1461,31,33,96.988205,2.
42,5,1,6,1,1,2,402,1460,256,35,96.448288,Transaction
43,5,1,6,1,1,3,675,1460,144,35,95.480324,Details
47,5,1,7,1,1,1,360,1556,223,44,93.286156,Category
48,5,1,7,1,1,2,567,1542,22,62,91.482872,:
49,5,1,7,1,1,3,600,1555,73,32,91.482872,B2B
50,5,1,7,1,1,4,892,1554,152,34,96.295128,Invoice
51,5,1,7,1,1,5,1059,1556,55,32,93.131401,No
52,5,1,7,1,1,6,1129,1564,5,24,92.08976,:
53,5,1,7,1,1,7,1150,1555,188,32,96.442505,10005100
54,5,1,7,1,1,8,1776,1556,226,32,96.501083,Document
55,5,1,7,1,1,9,2018,1556,99,32,91.018837,Date
56,5,1,7,1,1,10,2132,1564,5,24,89.624664,:
57,5,1,7,1,1,11,2153,1546,235,49,57.660294,29/01/2023.
58,5,1,7,1,1,12,2484,1556,214,32,40.96566,RoomNo:
59,5,1,7,1,1,13,2715,1555,104,32,96.920692,9005
63,5,1,8,1,1,1,357,1730,32,33,96.447617,3.
64,5,1,8,1,1,2,405,1731,109,44,96.660759,Party
65,5,1,8,1,1,3,528,1729,144,35,96.656158,Details
